symbol,date,repair_month,state,suspension_status,blocks_current_publication,note
1101,2017-04-19,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
1101,2017-04-20,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
1102,2024-06-05,2024-06,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
1216,2017-07-27,2017-07,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
1229,2019-03-28,2019-03,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2027,2018-10-02,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-03-30,2020-03,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-07,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-08,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-12,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-13,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-14,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-15,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2201,2020-10-16,2020-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2231,2019-01-21,2019-01,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2303,2018-06-29,2018-06,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2016-03-30,2016-03,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2018-10-18,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2018-10-19,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2018-10-22,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2018-10-23,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2018-10-24,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2317,2018-10-25,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2324,2018-08-07,2018-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-15,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-16,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-17,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-18,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-21,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-22,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-23,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-24,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2337,2017-08-25,2017-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2354,2016-03-30,2016-03,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-07,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-08,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-12,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-13,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-14,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-15,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2368,2022-09-16,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-09-29,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-09-30,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-10-03,2022-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-10-04,2022-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-10-05,2022-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-10-06,2022-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2409,2022-10-07,2022-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2449,2024-04-26,2024-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2454,2016-05-13,2016-05,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-11,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-12,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-15,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-16,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-17,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-18,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2458,2018-10-19,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-07,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-08,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-12,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-13,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-14,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-15,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2603,2022-09-16,2022-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-20,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-21,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-24,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-25,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-26,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-27,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-04-28,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-05-02,2017-05,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2609,2017-05-03,2017-05,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2912,2017-07-27,2017-07,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-18,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-19,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
